,data_index,link,position_name,company_name
908,1022,https://justjoin.it/offers/wizards-of-the-coast-lead-software-engineer-magic-the-gathering--warszawa-game,Lead Software Engineer (Magic the Gathering),Wizards of the Coast
909,1023,https://justjoin.it/offers/hemolens-diagnostics-senior-devops-engineer-wroclaw-devops,DevOps Engineer,Hemolens Diagnostics
910,1024,https://justjoin.it/offers/pko-bp-finat-mid-senior-full-stack-developer-java-kotlin-react--warszawa-java,Mid/Senior Full-Stack Developer (Java Kotlin React),PKO BP Finat
911,1025,https://justjoin.it/offers/ccc-s-a--instalator-serwisant-systemow-cctv-i-kd-wroclaw-other,Instalator / serwisant systemów CCTV i KD,CCC S.A.
912,1026,https://justjoin.it/offers/calamari-inzynier-java-kotlin-warszawa-java,Java/Kotlin Craftsman (SaaS),Calamari
913,1027,https://justjoin.it/offers/evolution-data-scientist-warszawa-data-7b7373f3,Data Scientist,Evolution
914,1028,https://justjoin.it/offers/telewizja-polska-s-a--mlodszy-programista-sap-abap-warszawa-erp,Młodszy programista SAP ABAP,Telewizja Polska S.A.
915,1029,https://justjoin.it/offers/eurocash-it-security-specialist-application-cloud-area--komorniki-security,IT Security Specialist (Application/Cloud Area),Eurocash
916,1030,https://justjoin.it/offers/eurocash-administrator-it-komorniki-admin,Administrator IT,Eurocash
917,1031,https://justjoin.it/offers/asseco-business-solutions-programista-net-sql-systemy-finansowe--lublin-net,Programista .NET/SQL (systemy finansowe),Asseco Business Solutions
918,1032,https://justjoin.it/offers/gecko-dynamics-sp-z-o-o--senior-frontend-developer-krakow-javascript,Senior Frontend Developer,Gecko Dynamics sp. z o.o.
919,1033,https://justjoin.it/offers/ferchau-poland-devsecops-engineer-wroclaw-security,DevSecOps Engineer,Ferchau Poland
920,1034,https://justjoin.it/offers/workday-senior-workday-hcm-functional-consultant---emea-warszawa-erp,Senior Workday HCM Functional Consultant - EMEA,Workday
921,1041,https://justjoin.it/offers/euroclear-it-system-engineer---backup-archiving-krakow-support,IT System Engineer - Backup & Archiving,Euroclear
922,1042,https://justjoin.it/offers/benefit-systems-intl--senior-fullstack-engineer-net--warszawa-net,Senior Fullstack Engineer (.NET),Benefit Systems Intl.
923,1043,https://justjoin.it/offers/travelplanet-pl-sa-invia-group--mid-senior-qa-automation-engineer-wroc-aw-testing,Mid/Senior QA Automation Engineer,Travelplanet.pl SA (Invia Group)
924,1044,https://justjoin.it/offers/hsbc-service-delivery-senior-kdb-developer-krakow-other,Senior KDB Developer - Investment Banking Tech,HSBC Service Delivery
925,1045,https://justjoin.it/offers/hsbc-service-delivery-senior-software-java-engineer-krakow-java,Senior Software Java Engineer - Investment Banking Tech,HSBC Service Delivery
926,1046,https://justjoin.it/offers/hsbc-service-delivery-full-stack-engineer-krakow-java-c269309d,Full-stack Engineer - Investment Banking Tech,HSBC Service Delivery
927,1047,https://justjoin.it/offers/randstad-polska-sp-z-o-o--qa-engineer-katowice-testing,QA Engineer,Randstad Polska Sp. z o.o.
928,1048,https://justjoin.it/offers/tesco-technology-senior-data-scientist---computer-vision-krakow-data,Senior Data Scientist - Computer Vision,Tesco Technology
929,1049,https://justjoin.it/offers/leovegas-engineering-manager-warszawa-java-b47b1dad,Engineering Manager,LeoVegas
930,1050,https://justjoin.it/offers/hsbc-service-delivery-tech-lead-krakow-java,Tech Lead - Investment Banking Tech,HSBC Service Delivery
931,1051,https://justjoin.it/offers/pit-radwar-s-a--architekt-oprogramowania-systemy-bezza-ogowe-dowodzenia-i-rozpoznania--warszawa-architecture,"Architekt oprogramowania (systemy bezzałogowe, dowodzenia i rozpoznania)",PIT-RADWAR S.A.
932,1052,https://justjoin.it/offers/payback-migration-engineer-warszawa-java,Migration Engineer,PAYBACK
933,1053,https://justjoin.it/offers/procter-gamble-senior-data-engineer-global-media-warszawa-python-d3a30aa0,"Senior Data Engineer, Global Media",Procter & Gamble
934,1054,https://justjoin.it/offers/pit-radwar-s-a--programista-systemy-wspomagania-dowodzenia--warszawa-c,Programista (systemy wspomagania dowodzenia),PIT-RADWAR S.A.
935,1055,https://justjoin.it/offers/hsbc-service-delivery-engineering-lead-investment-banking-tech--krakow-java,Engineering Lead (Investment Banking Tech),HSBC Service Delivery
936,1056,https://justjoin.it/offers/hsbc-service-delivery-senior-java-engineer-with-devops-investment-banking-tech--krakow-java,Senior Java Engineer with DevOps (Investment Banking Tech),HSBC Service Delivery
937,1057,https://justjoin.it/offers/hsbc-service-delivery-senior-software-engineer-investment-banking-tech--krakow-java,Senior Software Engineer (Investment Banking Tech),HSBC Service Delivery
938,1058,https://justjoin.it/offers/neogames-full-stack-developer-krakow-javascript,Full Stack developer,NeoGames
939,1059,https://justjoin.it/offers/sollers-consulting-sp-z-o-o-java-developer-with-french-german,Java Developer with French/German,Sollers Consulting Sp. z.o.o
940,1067,https://justjoin.it/offers/epam-systems-senior-android-developer-krakow-mobile,Senior Android Developer,EPAM Systems
941,1068,https://justjoin.it/offers/remitly-software-development-engineer-krakow-go-3d2c5e16,Software Development Engineer,Remitly
942,1069,https://justjoin.it/offers/epam-systems-lead-php-wordpress-developer-krakow-php,Lead PHP/WordPress Developer,EPAM Systems
943,1070,https://justjoin.it/offers/epam-systems-senior-macos-developer-krakow-other,Senior macOS Developer,EPAM Systems
944,1071,https://justjoin.it/offers/epam-systems-lead-designer-game-development--krakow-game,Lead Designer (Game Development),EPAM Systems
945,1072,https://justjoin.it/offers/asseco-data-systems-java-developer-spring-webflux--szczecin-java,Java Developer (Spring WebFlux),Asseco Data Systems
946,1073,https://justjoin.it/offers/polskie-eplatnosci-project-manager-rzeszow-pm-663084ba,Project Manager,POLSKIE ePŁATNOŚCI
947,1074,https://justjoin.it/offers/vlayer-labs-developer-relations-devrel-engineer-warszawa-other,Developer Relations (DevRel) Engineer,vlayer Labs
948,1075,https://justjoin.it/offers/avenga-platform-engineer-warszawa-devops,Platform Engineer,Avenga
949,1076,https://justjoin.it/offers/asseco-data-systems-mlodszy-wdrozeniowiec-warszawa-admin,Młodszy Wdrożeniowiec,Asseco Data Systems
950,1077,https://justjoin.it/offers/virtuos-warsaw-junior-graphics-programmer-warszawa-game,Junior Graphics Programmer,Virtuos Warsaw
951,1078,https://justjoin.it/offers/virtuos-warsaw-senior-graphics-programmer-warszawa-game,Senior Graphics Programmer,Virtuos Warsaw
952,1079,https://justjoin.it/offers/j-labs-senior-java-developer-krakow-java-78215764,Senior Java Developer,j-labs
953,1080,https://justjoin.it/offers/domdata-s-a--low-code-developer-specialist-poznan-net,Low-Code Developer Specialist,DomData S.A.
954,1081,https://justjoin.it/offers/hirexa-talend-developer-warszawa-other,Talend Developer,Hirexa
955,1082,https://justjoin.it/offers/altimetrik-poland-data-solutions-architect-data-architect-krakow-data,Data Solutions Architect/ Data Architect,Altimetrik Poland
956,1083,https://justjoin.it/offers/epam-systems-senior-web-digital-analyst-krakow-analytics,Senior Web & Digital Analyst,EPAM Systems
957,1084,https://justjoin.it/offers/in-team-software-project-manager-krakow-pm,Software Project Manager,IN Team
958,1092,https://justjoin.it/offers/pko-bp-finat-back-end-developer-warszawa-javascript,Back-end developer,PKO BP Finat
959,1093,https://justjoin.it/offers/pko-bp-finat-atlassian-developer-warszawa-admin,Atlassian Developer,PKO BP Finat
960,1094,https://justjoin.it/offers/pko-bp-finat-jira-developer-warszawa-admin,JIRA Developer,PKO BP Finat
961,1095,https://justjoin.it/offers/pko-bp-finat-programista-jira-warszawa-admin,Programista Jira,PKO BP Finat
962,1096,https://justjoin.it/offers/pko-bp-finat-jira-developer-warszawa-other,JIRA Developer,PKO BP Finat
963,1097,https://justjoin.it/offers/pko-bp-finat-atlassian-developer-warszawa-other,Atlassian Developer,PKO BP Finat
964,1098,https://justjoin.it/offers/schenker-technology-center-senior-java-developer-warszawa-java-27f04255,Senior Java Developer,Schenker Technology Center
965,1099,https://justjoin.it/offers/ppg-full-stack-developer-wroclaw-net,Full Stack Developer,PPG
966,1100,https://justjoin.it/offers/integral-services-backend-developer-kafka--warszawa-java,Backend Developer (Kafka),Integral Services
967,1101,https://justjoin.it/offers/n-ix-lead-mendix-engineer-warszawa-other,Lead Mendix Engineer,N-iX
968,1102,https://justjoin.it/offers/7n-java-developer-gdansk-java-7fc5bced,Java Developer,7N
969,1103,https://justjoin.it/offers/reply-polska-sp-z-o-o--java-developer-katowice-java-7234c8d4,Java Developer,Reply Polska Sp. z o. o.
970,1104,https://justjoin.it/offers/amusys-production-sp-z-o-o--remote-java-backend-developer-wroclaw-java,Remote Java Backend Developer,Amusys Production Sp.z o.o.
971,1105,https://justjoin.it/offers/silky-coders-junior-itam-specialist-gdansk-support-4c855f47,Junior ITAM Specialist,Silky Coders
972,1106,https://justjoin.it/offers/holisticon-connect-dataops-expert-engineer-with-aws-warszawa-devops,DataOps Expert-Engineer with AWS,Holisticon Connect
973,1107,https://justjoin.it/offers/clearcourse-dev--net-development-team-leader-krakow-net,.NET Development Team Leader,ClearCourse Dev
974,1108,https://justjoin.it/offers/clearcourse-dev-php-development-team-leader-krakow-php,PHP Development Team Leader,ClearCourse Dev
975,1109,https://justjoin.it/offers/accenture-sp-z-o-o--capital-markets-technical-consultant-warszawa-pm,Capital Markets Technical Consultant,Accenture Sp. z o. o.
976,1116,https://justjoin.it/offers/google-systems-engineer-iii-site-reliability-engineering-warszawa-devops,"Systems Engineer III, Site Reliability Engineering",Google
977,1117,https://justjoin.it/offers/infolet-kubernetes-and-databases-administrator-krakow-data,Kubernetes and Databases Administrator,Infolet
978,1118,https://justjoin.it/offers/co-brick-senior-flutter-developer-gliwice-mobile,Senior Flutter Developer,co.brick
979,1119,https://justjoin.it/offers/here-technologies-lead-frontend-software-engineer-flutter--krakow-mobile,Lead Frontend Software Engineer (Flutter),HERE Technologies
980,1120,https://justjoin.it/offers/kalepa-machine-learning-engineer-warszawa-python-123bed28,Machine Learning Engineer,Kalepa
981,1121,https://justjoin.it/offers/here-technologies-lead-frontend-software-engineer-flutter--krakow-javascript,Lead Frontend Software Engineer (Flutter),HERE Technologies
982,1122,https://justjoin.it/offers/square-one-architekt-crm-wroclaw-net,Architekt CRM,Square One
983,1123,https://justjoin.it/offers/electrolux-group-senior-cybersecurity-architect-mobile-technology-stockholm-mobile,"Senior Cybersecurity Architect, Mobile Technology",Electrolux Group
984,1124,https://justjoin.it/offers/alior-bank-sa-specjalista-ds-testow-crm-krakow-testing,Specjalista ds. Testów CRM,Alior Bank SA
985,1125,https://justjoin.it/offers/j-labs-senior-java-developer-krakow-java-80f92beb,Senior Java Developer with GCP,j-labs
986,1126,https://justjoin.it/offers/leovegas-senior-java-developer---new-project-warszawa-java,Senior Java Developer - New Project,LeoVegas
987,1127,https://justjoin.it/offers/avenga-vue-js-developer-wroclaw-javascript,Vue.js Developer,Avenga
988,1128,https://justjoin.it/offers/link4-tu-s-a---senior-data-scientist-starszy-specjalista-ds-modeli-taryfowych-warszawa-python,(Senior) Data Scientist / (Starszy) Specjalista ds. Modeli Taryfowych,LINK4 TU S.A.
989,1129,https://justjoin.it/offers/link4-tu-s-a---senior-data-scientist-starszy-specjalista-ds-modeli-taryfowych-warszawa-data,(Senior) Data Scientist / (Starszy) Specjalista ds. Modeli Taryfowych,LINK4 TU S.A.
990,1130,https://justjoin.it/offers/eviden-sap-technical-consultant-sap-finance-treasury--wroclaw-erp,SAP Technical Consultant (SAP Finance Treasury),Eviden
991,1131,https://justjoin.it/offers/x-kom-sp-z-o-o--ios-technical-lead-krakow-pm,iOS Technical Lead,x-kom sp. z o.o.
992,1132,https://justjoin.it/offers/grape-up-cloud-architect-for-automotive-krakow-architecture,Cloud Architect for Automotive,Grape Up
993,1133,https://justjoin.it/offers/eviden-solution-architect-wroclaw-architecture,Solution Architect,Eviden
994,1134,https://justjoin.it/offers/eviden-devops-engineer-with-kafka-wroclaw-devops,DevOps Engineer with Kafka,Eviden
995,1142,https://justjoin.it/offers/core3-senior-backend-developer-python--warszawa-python,Senior Backend Developer (Python),core3
996,1143,https://justjoin.it/offers/fun-crafters-sp-z-o-o--senior-unity-developer-krakow-game,Senior Unity Developer,FUN CRAFTERS SP. Z O O.
997,1144,https://justjoin.it/offers/backbase-principal-backend-engineer-krakow-java,Principal Backend Engineer,Backbase
